title,genre,director,country,year,imdb_id,imdb_rating
Анечка идёт в школу,"детский, экранизация",Милан Вошмик,Чехословакия,1962,tt0055751,
Анетта,"киноновелла, экранизация",Георгий Шмованов,СССР,1966,tt13124532,
Анемон,драматический фильм,Ронан Дэй-Льюис,США,,tt33549648,
Андрокл и лев,пеплум,"Честер Эрскин, Николас Рэй",США,1952,tt0044355,
Андроид,"фантастика, драма",Аарон Липштадт,США,1982,tt0083557,
Андриеш,сказка,"Яков Базелян, Сергей Параджанов",СССР,1954,tt0046713,
Андрейка,киноповесть,Николай Лебедев,СССР,1958,tt0305218,
Андра,приключения,Мэтт Симбер,"Испания, США",1983,tt0087436,
Анита О’Дэй: Жизнь джазовой певицы,документальный,,США,2007,tt0843838,
Андрей и злой чародей,"сказка, комедия",Геннадий Харлан,СССР,1981,tt0231141,
Андрей Рублёв,"историческая, драма",Андрей Тарковский,СССР,1966,tt0060107,
Анжелика и король,"экранизация, приключенческий фильм, мелодрама, исторический фильм",Бернар Бордери,ФРГ,1966,tt0058909,
"Анджело, моя любовь",драма,Роберт Дюваль,США,1983,tt0085168,
Анджело,Драма,Михаил Нароков,РСФСР,1920,,
Андерсен. Жизнь без любви,"Биография, Сказка",Эльдар Рязанов,Россия,2006,tt0466174,
Анемия,драма,Тато Котетишвили,СССР,1987,tt0285435,
Андалузский пёс,"сюрреализм, авангард",Луис Бунюэль,Франция,"6 июня, 1929, 1929",tt0020530,
Ангус,комедия,Пэтрик Рид Джонсон,"США, Великобритания, Германия, Франция",1995,tt0112368,
"Ангус, стринги и поцелуи взасос","комедия, драма",Гуриндер Чадха,США,2008,tt0963743,
Англия!,драма,Ахим фон Боррис,Германия,2000,tt0255140,
Андроид,технотриллер,Бобби Бурманс,Нидерланды,2013,tt2536436,
Английский цирюльник,комедия,Пэдди Бретнэк,"Великобритания, Германия, США",2001,tt0212380,
